UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
448	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
450	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
451	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
452	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
453	3 Marginal	3 Marginal	3 Bajo	1 Limit_ligera
454	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
456	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
457	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
458	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
460	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
461	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
482	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
483	4 No apta	4 No apta	3 Bajo	3 Limit_fuerte
501	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
507	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
508	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
509	3 Marginal	3 Marginal	4 Muy bajo	2 Limit_moderada
510	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
511	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
512	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
513	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
514	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
515	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
516	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
517	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
518	3 Marginal	3 Marginal	4 Muy bajo	2 Limit_moderada
519	3 Marginal	3 Marginal	4 Muy bajo	2 Limit_moderada
520	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
521	3 Marginal	3 Marginal	3 Bajo	2 Limit_moderada
522	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
523	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
